TECHNOLOGIES,YEAR,powerCost,investCost,operationCost,lifeSpan,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2,EmissionCO2
OldNuke,2020,0,1000000,150000,60,0.001,0.001,0.04,0.04,0,0,0
WindOnShore,2020,0.0,1300000,45000,30,0,100000,0.0,0.0,0,0,0
Solar,2020,0.0,800000,15000,20,0,100000,0,0.0,0,0,0
electrolysis,2020,0.0,1500000,60000,10,0.0,100000,0.0,0.0,0,0,0
SMR_class,2020,0,800000,40000,60,0,100000,0,0,0,0,354
SMR_CCS1,2020,0,1200000,60000,60,0,100000,0,0,0,0,162
SMR_CCS2,2020,0,1500000,75000,60,0,100000,0,0,0,0,72
SMR_elec,2020,0,1000000,50000,60,0,100000,0,0,0,0,162
SMR_elecCCS1,2020,0,1500000,75000,60,0,100000,0,0,0,0,72
OldNuke,2030,0,1000000,150000,60,0.001,0.001,0.04,0.04,0,0,0
WindOnShore,2030,0.0,1300000,45000,30,0,100000,0.0,0.0,0,0,0
Solar,2030,0.0,800000,15000,20,0,100000,0,0.0,0,0,0
electrolysis,2030,0.0,1000000,50000,10,0.0,100000,0.0,0.0,0,0,0
SMR_class,2030,0,800000,40000,60,0,100000,0,0,0,0,354
SMR_CCS1,2030,0,1050000,52500,60,0,100000,0,0,0,0,162
SMR_CCS2,2030,0,1300000,65000,60,0,100000,0,0,0,0,72
SMR_elec,2030,0,1000000,50000,60,0,100000,0,0,0,0,162
SMR_elecCCS1,2030,0,1500000,75000,60,0,100000,0,0,0,0,72
OldNuke,2040,0,1000000,150000,60,0.001,0.001,0.04,0.04,0,0,0
WindOnShore,2040,0.0,1300000,45000,30,0,100000,0.0,0.0,0,0,0
Solar,2040,0.0,800000,15000,20,0,100000,0,0.0,0,0,0
electrolysis,2040,0.0,500000,25000,10,0.0,100000,0.0,0.0,0,0,0
SMR_class,2040,0,800000,40000,60,0,100000,0,0,0,0,354
SMR_CCS1,2040,0,900000,45000,60,0,100000,0,0,0,0,162
SMR_CCS2,2040,0,1100000,55000,60,0,100000,0,0,0,0,72
SMR_elec,2040,0,500000,25000,60,0,100000,0,0,0,0,162
SMR_elecCCS1,2040,0,800000,40000,60,0,100000,0,0,0,0,72
